Index,Cycle,Step,StepSeq,Mode,TestTime_s,StepTime_s,Voltage_V,Current_mA,Capacity_mAh,Energy_mWh,DateTime
1,1,1,1,Rest,0.07,0,1.40368,0,0,0,2026-07-16 04:20:47.070
2,1,1,1,Rest,60.07,60,1.40368,0,0,0,2026-07-16 04:21:47.070
3,1,1,1,Rest,120.07,120,1.40383,0,0,0,2026-07-16 04:22:47.070
4,1,1,1,Rest,180.07,180,1.40352,0,0,0,2026-07-16 04:23:47.070
5,1,2,2,CC_DChg,180.15,0,1.38043,-0.03968,0,0,2026-07-16 04:23:47.150
6,1,2,2,CC_DChg,240.15,60,1.29099,-0.03999,0.000663016,0.000879033,2026-07-16 04:24:47.150
7,1,2,2,CC_DChg,300.15,120,1.24822,-0.03999,0.00132546,0.00171957,2026-07-16 04:25:47.150
8,1,2,2,CC_DChg,360.15,180,1.22372,-0.03999,0.00198777,0.00253536,2026-07-16 04:26:47.150
9,1,2,2,CC_DChg,420.15,240,1.23504,-0.03968,0.00264995,0.00334929,2026-07-16 04:27:47.150
10,1,2,2,CC_DChg,480.15,300,1.24325,-0.03999,0.00331247,0.00417063,2026-07-16 04:28:47.150
11,1,2,2,CC_DChg,540.15,360,1.24806,-0.03968,0.00397538,0.0049965,2026-07-16 04:29:47.150
12,1,2,2,CC_DChg,600.15,420,1.25039,-0.03999,0.00463778,0.00582409,2026-07-16 04:30:47.150
13,1,2,2,CC_DChg,660.15,480,1.25194,-0.03968,0.00530063,0.00665357,2026-07-16 04:31:47.150
14,1,2,2,CC_DChg,720.15,540,1.25317,-0.03968,0.0059633,0.00748368,2026-07-16 04:32:47.150
15,1,2,2,CC_DChg,780.15,600,1.25379,-0.03968,0.00662576,0.00831419,2026-07-16 04:33:47.150
16,1,2,2,CC_DChg,840.15,660,1.25411,-0.03968,0.0072881,0.00914485,2026-07-16 04:34:47.150
17,1,2,2,CC_DChg,900.15,720,1.25364,-0.03968,0.00795003,0.00997488,2026-07-16 04:35:47.150
18,1,2,2,CC_DChg,960.15,780,1.25302,-0.03968,0.00861207,0.0108046,2026-07-16 04:36:47.150
19,1,2,2,CC_DChg,1020.15,840,1.25271,-0.03999,0.0092741,0.0116341,2026-07-16 04:37:47.150
20,1,2,2,CC_DChg,1080.15,900,1.2524,-0.03968,0.00993593,0.0124631,2026-07-16 04:38:47.150
21,1,2,2,CC_DChg,1140.15,960,1.25147,-0.03968,0.0105984,0.0132923,2026-07-16 04:39:47.150
22,1,2,2,CC_DChg,1200.15,1020,1.25039,-0.03999,0.0112609,0.0141212,2026-07-16 04:40:47.150
23,1,2,2,CC_DChg,1260.15,1080,1.24914,-0.03968,0.0119236,0.0149493,2026-07-16 04:41:47.150
24,1,2,2,CC_DChg,1320.15,1140,1.2476,-0.03968,0.0125861,0.0157765,2026-07-16 04:42:47.150
25,1,2,2,CC_DChg,1380.15,1200,1.24558,-0.03968,0.0132483,0.0166021,2026-07-16 04:43:47.150
26,1,2,2,CC_DChg,1440.15,1260,1.24325,-0.03968,0.0139107,0.0174263,2026-07-16 04:44:47.150
27,1,2,2,CC_DChg,1500.15,1320,1.24062,-0.03968,0.014573,0.018249,2026-07-16 04:45:47.150
28,1,2,2,CC_DChg,1560.15,1380,1.23737,-0.03968,0.0152351,0.0190694,2026-07-16 04:46:47.150
29,1,2,2,CC_DChg,1620.15,1440,1.23442,-0.03968,0.0158973,0.0198878,2026-07-16 04:47:47.150
30,1,2,2,CC_DChg,1680.15,1500,1.2307,-0.03968,0.0165594,0.0207039,2026-07-16 04:48:47.150
31,1,2,2,CC_DChg,1740.15,1560,1.22605,-0.03999,0.0172217,0.0215176,2026-07-16 04:49:47.150
32,1,2,2,CC_DChg,1800.15,1620,1.22001,-0.03968,0.0178841,0.0223277,2026-07-16 04:50:47.150
33,1,2,2,CC_DChg,1860.15,1680,1.21226,-0.03968,0.0185462,0.0231331,2026-07-16 04:51:47.150
34,1,2,2,CC_DChg,1920.15,1740,1.20358,-0.03999,0.0192084,0.0239331,2026-07-16 04:52:47.150
35,1,2,2,CC_DChg,1980.15,1800,1.19118,-0.03968,0.0198712,0.0247271,2026-07-16 04:53:47.150
36,1,2,2,CC_DChg,2040.15,1860,1.17505,-0.03968,0.0205334,0.0255107,2026-07-16 04:54:47.150
37,1,2,2,CC_DChg,2100.15,1920,1.15366,-0.03999,0.021196,0.0262825,2026-07-16 04:55:47.150
38,1,2,2,CC_DChg,2160.15,1980,1.12034,-0.03968,0.021858,0.027036,2026-07-16 04:56:47.150
39,1,2,2,CC_DChg,2220.15,2040,1.06578,-0.03968,0.0225205,0.0277611,2026-07-16 04:57:47.150
40,1,2,2,CC_DChg,2280.15,2100,1.00161,-0.03999,0.0231827,0.0284461,2026-07-16 04:58:47.150
41,1,2,2,CC_DChg,2340.15,2160,0.93434,-0.03968,0.0238454,0.0290878,2026-07-16 04:59:47.150
42,1,2,2,CC_DChg,2400.15,2220,0.867845,-0.03999,0.0245078,0.0296848,2026-07-16 05:00:47.150
43,1,2,2,CC_DChg,2435.48,2255.33,0.79825,-0.03968,0.024898,0.030012,2026-07-16 05:01:22.480
44,1,3,3,CC_Chg,2435.55,0,0.83886,0.03968,0,0,2026-07-16 05:01:22.550
45,1,3,3,CC_Chg,2495.55,60,0.99293,0.03999,0.000663363,0.000605178,2026-07-16 05:02:22.550
46,1,3,3,CC_Chg,2555.55,120,1.14654,0.03968,0.0013256,0.00131484,2026-07-16 05:03:22.550
47,1,3,3,CC_Chg,2615.55,180,1.32137,0.03999,0.0019883,0.00212855,2026-07-16 05:04:22.550
48,1,3,3,CC_Chg,2675.55,240,1.49745,0.03999,0.00265087,0.00306651,2026-07-16 05:05:22.550
49,1,3,3,CC_Chg,2735.55,300,1.52179,0.03968,0.00331374,0.00407677,2026-07-16 05:06:22.550
50,1,3,3,CC_Chg,2795.55,360,1.51807,0.03968,0.00397621,0.00508359,2026-07-16 05:07:22.550
51,1,3,3,CC_Chg,2855.55,420,1.51667,0.03968,0.00463848,0.00608855,2026-07-16 05:08:22.550
52,1,3,3,CC_Chg,2915.55,480,1.5159,0.03968,0.00530081,0.00709293,2026-07-16 05:09:22.550
53,1,3,3,CC_Chg,2975.55,540,1.5159,0.03968,0.00596282,0.00809655,2026-07-16 05:10:22.550
54,1,3,3,CC_Chg,3035.55,600,1.5159,0.03999,0.00662509,0.00910053,2026-07-16 05:11:22.550
55,1,3,3,CC_Chg,3095.55,660,1.5159,0.03968,0.00728749,0.0101033,2026-07-16 05:12:22.550
56,1,3,3,CC_Chg,3155.55,720,1.51605,0.03968,0.00794983,0.0111074,2026-07-16 05:13:22.550
57,1,3,3,CC_Chg,3215.55,780,1.51636,0.03968,0.00861216,0.0121116,2026-07-16 05:14:22.550
58,1,3,3,CC_Chg,3275.55,840,1.51683,0.03968,0.00927458,0.0131162,2026-07-16 05:15:22.550
59,1,3,3,CC_Chg,3335.55,900,1.51667,0.03968,0.00993706,0.0141211,2026-07-16 05:16:22.550
60,1,3,3,CC_Chg,3395.55,960,1.51714,0.03968,0.0105994,0.0151259,2026-07-16 05:17:22.550
61,1,3,3,CC_Chg,3455.55,1020,1.51807,0.03968,0.0112618,0.0161312,2026-07-16 05:18:22.550
62,1,3,3,CC_Chg,3515.55,1080,1.51838,0.03968,0.0119242,0.0171369,2026-07-16 05:19:22.550
63,1,3,3,CC_Chg,3575.55,1140,1.51916,0.03968,0.0125863,0.0181425,2026-07-16 05:20:22.550
64,1,3,3,CC_Chg,3635.55,1200,1.51962,0.03968,0.0132481,0.0191482,2026-07-16 05:21:22.550
65,1,3,3,CC_Chg,3695.55,1260,1.52117,0.03968,0.0139105,0.0201553,2026-07-16 05:22:22.550
66,1,3,3,CC_Chg,3755.55,1320,1.52195,0.03999,0.0145729,0.0211633,2026-07-16 05:23:22.550
67,1,3,3,CC_Chg,3815.55,1380,1.52334,0.03999,0.0152349,0.0221715,2026-07-16 05:24:22.550
68,1,3,3,CC_Chg,3875.55,1440,1.52458,0.03968,0.015897,0.0231806,2026-07-16 05:25:22.550
69,1,3,3,CC_Chg,3935.55,1500,1.52598,0.03968,0.0165592,0.0241909,2026-07-16 05:26:22.550
70,1,3,3,CC_Chg,3995.55,1560,1.52721,0.03968,0.0172216,0.0252021,2026-07-16 05:27:22.550
71,1,3,3,CC_Chg,4055.55,1620,1.52938,0.03968,0.0178841,0.0262145,2026-07-16 05:28:22.550
72,1,3,3,CC_Chg,4115.55,1680,1.53124,0.03968,0.0185462,0.0272279,2026-07-16 05:29:22.550
73,1,3,3,CC_Chg,4175.55,1740,1.53404,0.03968,0.0192082,0.0282425,2026-07-16 05:30:22.550
74,1,3,3,CC_Chg,4235.55,1800,1.53713,0.03968,0.0198703,0.0292595,2026-07-16 05:31:22.550
75,1,3,3,CC_Chg,4295.55,1860,1.54116,0.03968,0.0205322,0.0302782,2026-07-16 05:32:22.550
76,1,3,3,CC_Chg,4355.55,1920,1.54581,0.03968,0.0211942,0.0312999,2026-07-16 05:33:22.550
77,1,3,3,CC_Chg,4415.55,1980,1.55062,0.03968,0.0218566,0.0323257,2026-07-16 05:34:22.550
78,1,3,3,CC_Chg,4475.55,2040,1.55682,0.03968,0.0225192,0.0333553,2026-07-16 05:35:22.550
79,1,3,3,CC_Chg,4535.55,2100,1.56271,0.03968,0.0231815,0.0343884,2026-07-16 05:36:22.550
80,1,3,3,CC_Chg,4595.55,2160,1.56845,0.03968,0.0238438,0.0354254,2026-07-16 05:37:22.550
81,1,3,3,CC_Chg,4655.55,2220,1.57371,0.03999,0.0245062,0.036466,2026-07-16 05:38:22.550
82,1,3,3,CC_Chg,4715.55,2280,1.57837,0.03968,0.0251685,0.03751,2026-07-16 05:39:22.550
83,1,3,3,CC_Chg,4775.55,2340,1.58271,0.03968,0.0258311,0.0385573,2026-07-16 05:40:22.550
84,1,3,3,CC_Chg,4835.55,2400,1.58642,0.03968,0.0264932,0.0396063,2026-07-16 05:41:22.550
85,1,3,3,CC_Chg,4895.55,2460,1.58922,0.03968,0.0271562,0.0406592,2026-07-16 05:42:22.550
86,1,3,3,CC_Chg,4955.55,2520,1.5917,0.03968,0.0278187,0.041713,2026-07-16 05:43:22.550
87,1,3,3,CC_Chg,5015.55,2580,1.59433,0.03968,0.028481,0.0427682,2026-07-16 05:44:22.550
88,1,3,3,CC_Chg,5075.55,2640,1.59696,0.03968,0.0291434,0.0438251,2026-07-16 05:45:22.550
89,1,3,3,CC_Chg,5135.55,2700,1.59945,0.03968,0.0298058,0.0448837,2026-07-16 05:46:22.550
90,1,3,3,CC_Chg,5195.55,2760,1.60224,0.03968,0.0304681,0.0459439,2026-07-16 05:47:22.550
